player_id,name,ranking,weight,position,height,country_code,birthdate
p1,Enea Xhelati,2659,91,Opposite,200,,5/15/1982
p10,Demián González TOP 200,159,81,Setter,192,AR,2/21/1983
p100,Wannes Rosiers,,86,Opposite,201,BE,6/22/1985
p1000,Ivan Borovnjak,1902,88,Outside Hitter,200,RS,7/4/1989
p10000,Szymon Kostecki,,,Outside Hitter,190,PL,9/23/1981
p100000,Francisco Lasprilla Gómez,,67,Outside Hitter,179,CO,
p100001,Mario Gaudieri,,,Libero,174,IT,1/31/1995
p100002,Luca Cacciatore,,,Setter,189,IT,10/5/1992
p100003,Marco Cittadino,,,Middle-blocker,201,IT,3/23/1984
p100006,Rudi Rea,,,Libero,183,IT,8/20/1992
p100007,Pierpaolo Polselli,,,Middle-blocker,195,IT,10/8/1993
p100008,Amine Bel Hadj Salah,,80,Outside Hitter,190,TN,5/7/2003
p100009,Oliwier Burda,,67,Outside Hitter,192,PL,1/20/2008
p10002,Tomasz Rybak,,,Middle-blocker,194,PL,11/1/1981
p10003,Marcin Kozar,,,Libero,189,PL,11/11/1981
p100033,Efe Ertürkler,,83,Opposite,189,TR,11/7/2005
p10004,Marcin Kasprowicz,,,Middle-blocker,197,PL,11/15/1981
p10005,Andrzej Kurdziel,,,Outside Hitter,192,PL,12/13/1981
p100057,Kamil Zając,,89,Middle-blocker,203,PL,10/29/1997
p10006,Paweł Szabelski,,,Middle-blocker,195,PL,12/22/1981
p100066,Sina Ravandi,5587,90,Outside Hitter,195,IR,
p100068,Souma Ito,,,Opposite,193,JP,
p10007,Krystian Kryjom,,,Setter,185,PL,1/1/1982
p100070,Marko Mičeta,,,Setter,,BA,5/15/2003
p10008,Marek Waltz,,,Setter,189,PL,1/1/1982
p100085,Serdar Hasbal,,80,Outside Hitter,188,TR,2/6/1988
p100086,Giannis Plithis,,,Setter,,GR,8/20/1961
p10009,Bartłomiej Zapilaj,,,Libero,179,PL,1/1/1982
p100091,Rodrigo Themudo,,,Setter,,PT,5/9/2004
p100092,Diogo Gomes,,,Setter,,PT,2/5/2004
p100093,João Freitas,,,Setter,,PT,9/30/2005
p100094,Tiago Torres,,,Outside Hitter,,PT,10/3/2004
p100096,Leonardo Pereira,,,Opposite,,PT,4/9/2006
p100097,Afonso Dias,,,Outside Hitter,,PT,2/25/2004
p1001,Ivan Miljković TOP 100,,88,Opposite,206,RS,9/13/1979
p10010,Paweł Pietryka,,,Middle-blocker,197,PL,1/1/1982
p100101,Marko Marošević,,80,Setter,180,HR,4/9/1997
p100102,Quentin Divary,,,Setter,,FR,
p10011,Łukasz Sobolewski,,,Setter,183,PL,1/1/1982
p10012,Patryk Michna,,,Middle-blocker,198,PL,1/1/1982
p100124,Ali Köksoy,,80,Opposite,191,TR,2/21/2002
p100125,Bruno Lusic,,,Outside Hitter,196,,1/30/1986
p10013,Łukasz Uliński,,,Setter,185,PL,1/1/1982
p100134,Michał Kowalczyk,,,Opposite,186,PL,
p10014,Damian Tomaszkiewicz,,,Outside Hitter,195,PL,1/1/1982
p100148,Lourenço Torres,,,Setter,171,PT,3/20/2004
p100149,Rodrigo Soares,,,Middle-blocker,180,PT,1/22/2004
p10015,Daniel Ferreira,,84,Outside Hitter,195,BR,5/1/1982
p100150,Vasco Pires,,,Opposite,180,PT,7/16/2004
p100151,Tomás Correia,,,Setter,183,PT,12/3/2004
p100152,Tomás Marques,,,Libero,170,PT,11/8/2004
p100153,Diogo Lopes,,,Middle-blocker,180,PT,1/20/2004
p100154,Vasco Verdugo,,,Outside Hitter,177,PT,7/19/2004
p100155,Manuel Antunes,,,Middle-blocker,189,PT,8/27/2004
p100156,Gonçalo Ferreira,,,Opposite,184,PT,5/13/2004
p100157,Pedro Osório,,,Middle-blocker,196,PT,4/22/2004
p100158,Gabriel Carmo,,,Opposite,183,PT,4/7/2004
p100159,Rodrigo Ramalho,,,Libero,179,PT,1/25/2004
p10016,Tomasz Płaza,,,Middle-blocker,199,PL,1/1/1982
p100160,Tiago Fortunato,,,Libero,172,PT,11/16/2004
p100161,Tiago Raposo,,,Setter,176,PT,6/2/2004
p100162,Diogo Trino,,,Middle-blocker,178,PT,3/29/2004
p100169,Filip Nedić,,89,Opposite,196,BA,9/17/1998
p10017,Andrzej Strzała,,,Middle-blocker,195,PL,1/1/1982
p100171,Gabriel Prata,,,Outside Hitter,,PT,4/11/2004
p100172,Dinis Pereira,,,Setter,,PT,10/27/2005
p100173,Gonçalo Ferreira,,,Outside Hitter,193,PT,2/4/2005
p100176,Vyacheslav Kurguzov,,,Opposite,200,RU,5/11/1982
p10018,Jakub Zagaja,,,Opposite,200,PL,1/1/1982
p10019,Tomasz Rakoczy,,,Outside Hitter,192,PL,1/1/1982
p100190,Kosuke Hosokawa,,,Middle-blocker,198,JP,
p100193,Robert Stefan Chirila,,,Middle-blocker,200,IT,3/10/2005
p100194,Alessandro Zecca,,,Libero,182,IT,12/11/2004
p100196,Ireneusz Mierzwiński,,,Middle-blocker,,PL,
p100197,Mattia Bertuzzi,,,Middle-blocker,192,IT,3/18/1994
p100199,Antonio Vitelli,,,Middle-blocker,196,IT,12/5/1989
p1002,Konstantin Čupković TOP 500,451,89,Outside Hitter,205,RS,1/2/1987
p10020,Łukasz Skrzypek,,,Opposite,202,PL,1/1/1982
p100200,Federico Calandri,,,Setter,,IT,
p100201,Lorenzo Giraudo,,,Outside Hitter,,IT,
p100202,Andrea Salomone,,,Outside Hitter,,IT,
p100203,Jacopo Longhi,,,Opposite,,IT,
p100204,Luca Semino,,,Middle-blocker,,IT,
p100205,Manuel Bonvini,,,Setter,,IT,
p100207,Giovanni Perissinotto,,,Opposite,,IT,
p100208,Riccardo Anzani,,,Libero,,IT,
p100209,Alessandro Melfi,,,Middle-blocker,,IT,
p10021,Tomasz Stachowicz,,,Outside Hitter,190,PL,1/1/1982
p100210,Simone Gualtieri,,,Setter,,IT,
p100211,Riccardo Romanatti,,,Opposite,,IT,
p100213,Stefano Giraudo,,,Middle-blocker,,IT,
p100214,Dario Mosso,,,Setter,,IT,
p100215,Alessio Gotti,,,Outside Hitter,185,IT,5/11/2001
p100217,Luca Cattani,,,Outside Hitter,184,IT,11/9/1996
p100218,Francesco Orsi,,,Opposite,200,IT,8/17/2000
p10022,Jacek Skotak,,,Opposite,195,PL,1/1/1982
p100220,Michele Moroni,,,Setter,,IT,1/20/1993
p100221,Luca Savi,,,Middle-blocker,191,IT,4/28/1989
p100223,Simone Ruozzi,,,Middle-blocker,192,IT,10/7/1987
p100226,Paweł Boniaszczuk,,85,Setter,193,PL,7/18/2003
p100227,Luca Brembilla,,,Outside Hitter,,IT,
p100228,Simone Menichini,,,Libero,,IT,
p10023,Rafał Zemła,,,Setter,190,PL,1/1/1982
p10024,Aleksander Mutryn,,,Middle-blocker,196,PL,1/1/1982
p10025,Dominik Sroga,,,Outside Hitter,191,PL,1/1/1982
p10026,Łukasz Pawluk,,,Middle-blocker,196,PL,1/1/1982
p100263,Marco Bonetti,,,Middle-blocker,,IT,9/4/1982
p100264,Riccardo Asnaghi,,,Libero,173,IT,2/25/1997
p10027,Paweł Migut,,,Middle-blocker,197,PL,1/1/1982
p100276,Riccardo Chiesa,,,Middle-blocker,,IT,2/14/1981
p10028,Piotr Szpynda,,,Middle-blocker,192,PL,1/1/1982
p100283,Marcello Vecchi,,,Setter,,IT,12/23/1994
p100285,Stefano Carotti,,,Outside Hitter,,IT,12/18/1999
p100289,Luka Urošević,,78,Setter,198,RS,3/21/2007
p10029,Piotr Wierzbicki,,,Outside Hitter,188,PL,1/1/1982
p100295,Federico Santini,,,Setter,,IT,
p1003,Marko Ivović TOP 200,128,92,Outside Hitter,194,RS,12/22/1990
p10030,Marcin Oczkowski,,,Middle-blocker,192,PL,1/1/1982
p10031,Adam El-Kass,,100,Outside Hitter,194,,3/27/1980
p100310,Thanapon Khongnok,,,Opposite,,TH,
p100313,Tomas Arratia,,72,Setter,180,CL,6/14/2005
p100314,Joaquin Aguirre,,75,Setter,182,CL,9/16/2005
p100315,Felipe Valenzuela,,75,Opposite,190,CL,4/12/2005
p100316,Josue Ruiz,,73,Outside Hitter,194,CL,4/13/2006
p100317,Samuel Munita,,77,Outside Hitter,186,CL,4/15/2005
p100318,Ian Gei,,77,Outside Hitter,187,CL,4/21/2005
p100319,Goran Rafaell,,73,Middle-blocker,194,CL,6/18/2005
p10032,Piotr Szyćko,,,Middle-blocker,198,PL,1/5/1982
p100320,Pablo Sirhan,,74,Middle-blocker,188,CL,1/27/2005
p100321,Esteban Villarroel,,70,Middle-blocker,190,CL,6/29/2006
p100323,Carlos Figueroa,,77,Opposite,190,CL,2/21/2005
p100325,Daniel Fuenzalida,,68,Libero,180,CL,5/24/2005
p10033,Grzegorz Godlejewski,,,Middle-blocker,197,PL,1/20/1982
p100330,Kaan Andres Vargas Arik,,63,Libero,170,CR,
p100337,Aleksei Voltšihhin,,63,Outside Hitter,177,,2/6/2006
p10034,Łukasz Grabowski,,,Middle-blocker,193,PL,1/23/1982
p100341,Mark Stankov,,62,Setter,170,,5/25/2006
p100347,Fjodor Jegorov,,69,Outside Hitter,183,,3/15/2006
p10035,Marcin Czajka,,,Middle-blocker,195,PL,1/29/1982
p10036,Grzegorz Górnik,,,Libero,189,PL,2/16/1982
p10037,Piotr Niemiec,,,Opposite,200,PL,3/3/1982
p10038,Marcin Olichwer,,,Opposite,197,PL,3/5/1982
p100383,Valerio Carboni,,,Libero,180,IT,1/11/1984
p100384,Andrea Gabrielli,,,Outside Hitter,189,IT,9/7/1988
